	1	2	3	4	5	6	7	8	9	10
SPSQ_biopsy3_RA_s_024um_00164_00128-1	0.17441655182777072	0.20357143153455962	0.05879518453115061	0.12857469962626913	0.0	0.19433799627681994	0.1412591361604376	0.0	0.0	0.0
SPSQ_biopsy3_RA_s_024um_00135_00156-1	0.15081809371795932	0.0	0.3938473219088066	0.18433127649724412	0.14621059782880172	0.056151805317280055	0.021989057118974215	0.0	0.0081825789204326	0.00850722261599312
SPSQ_biopsy3_RA_s_024um_00155_00169-1	0.6481313922962799	0.15379545269090922	0.08445918060263836	0.0	0.0	0.10502473191948061	0.02956799771258454	0.00697064975292254	0.0	0.006797996515256769
SPSQ_biopsy3_RA_s_024um_00194_00095-1	0.01601284440804962	0.0	0.0	0.0	0.0	0.08561611355542957	0.08030755553789524	0.0	0.6735274952497629	0.17872633731138174
SPSQ_biopsy3_RA_s_024um_00147_00140-1	0.13823246683949794	0.039937816304707004	0.29695594152675664	0.0	0.047357859303852806	0.437178552516551	0.01053574525450736	0.024850248815800793	0.04288423450840688	0.0035930609758327665
SPSQ_biopsy3_RA_s_024um_00104_00195-1	0.0	0.0	0.0	0.0	0.02626876857457069	0.0	0.0	1.015555183671162	0.06709901814173615	0.0
SPSQ_biopsy3_RA_s_024um_00177_00177-1	0.11380434314487442	0.07985842825381423	0.1775779595510425	0.07290942724909033	0.25089367345205027	0.0	0.0	0.3230757874613475	0.0	0.0
SPSQ_biopsy3_RA_s_024um_00110_00197-1	0.0	0.0	0.004840151251636424	0.0	0.0	0.0	0.0	1.0038373109732364	0.12606747731409282	0.0
SPSQ_biopsy3_RA_s_024um_00129_00165-1	0.011704176188164004	0.0866255362078022	0.27752060459510275	0.12103392705757275	0.30519915091755406	0.016150260419193076	0.054803700364733005	0.019802222639780393	0.014765993786095114	0.0
SPSQ_biopsy3_RA_s_024um_00136_00167-1	0.037701539727435784	0.0	0.10409948592926359	0.4838503120279155	0.4423569401505547	0.0	0.032327267840361835	0.0	0.0	0.0
SPSQ_biopsy3_RA_s_024um_00104_00134-1	0.7068418788856083	0.01288798101656429	0.0	0.0336495719527862	0.0	0.15874979149086302	0.1260344747536117	0.013644109806273945	0.005758721574013404	0.0004868440134831669
SPSQ_biopsy3_RA_s_024um_00091_00164-1	0.22820111320232953	0.02811125190545404	0.22813880616227716	0.29864861373683	0.22169588560887618	0.0	0.0	0.07828412553833429	0.023160804389686342	0.017266290946977954
SPSQ_biopsy3_RA_s_024um_00062_00158-1	0.0	0.13691540219614354	0.11255118384676371	0.45733908525419026	0.0	0.05582489679784979	0.0975363047661912	0.03394718580857956	0.008465002902948975	0.009004543379037997
SPSQ_biopsy3_RA_s_024um_00201_00138-1	0.2488260560099184	0.09906266373962769	0.075715862428903	0.332427508611091	0.0	0.069240185701375	0.03846690223720151	0.0	0.02248803103648212	0.0
