	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SPSC_biopsy1_s_024um_00071_00171-1	0.0	0.08566213389588985	0.02459260307033751	0.32765008457354544	0.02518228059693278	0.2860153817215525	0.0885208653346819	0.0	0.0	0.21123402676165967	0.0	0.0	0.0	0.0	0.0
SPSC_biopsy1_s_024um_00078_00166-1	0.020155656109483094	0.0	0.16087214287621493	0.18859937081413783	0.0943770218039289	0.19043902535731008	0.011284155627352122	0.042174200639379184	0.04978053320114462	0.129639857925338	0.0	0.0031834084500583495	0.0	0.0	0.0
SPSC_biopsy1_s_024um_00098_00131-1	0.0	0.3038363197325016	0.1750817731149944	0.1273193039251182	0.06799161734133784	0.04048709698365513	0.0	0.012720680093484895	0.14997429869631898	0.04657007346510339	0.0	0.009975135232021363	0.0	0.0	0.0
SPSC_biopsy1_s_024um_00145_00161-1	0.3140413653987957	0.0	0.059515482215481495	0.022043059557406156	0.08377665194704145	0.0	0.012130836078887798	0.13390242343135433	0.23382916837082748	0.0	0.08762827404546049	0.0	0.0	0.0424500991125924	0.0
SPSC_biopsy1_s_024um_00078_00115-1	0.02246923145765486	0.0733637780755517	0.297004982144802	0.10839306921268146	0.17326673366280726	0.20385897311280418	0.017317599389067476	0.029118020975604935	0.039577347421264085	0.07213000016312075	0.0069586105497217955	0.0	0.002556625285982693	0.0	0.0
SPSC_biopsy1_s_024um_00134_00129-1	0.0004963590641901655	0.19505380519170262	0.23973468343428392	0.07566258458576561	0.18321908344856366	0.11202662912782127	0.0	0.07082584522328332	0.08006922614041714	0.04034492937174032	0.0	0.0	0.0004041482844949095	0.008334489913937955	0.0
SPSC_biopsy1_s_024um_00080_00107-1	0.0016965914013135162	0.0	0.0036746531571101933	0.48070977429234135	0.19978876996277653	0.08469969003493683	0.08059963131132507	0.0	0.03546652169274183	0.055840639613609994	0.017553627081965652	0.0010529901691600707	0.013319705970991608	0.0003332445358058062	0.01188913383205597
SPSC_biopsy1_s_024um_00160_00134-1	0.7407026909248754	0.03976981399597921	0.0	0.003614757133707911	0.27464778322398326	0.0	0.0	0.007374131552415187	0.007745368496127171	0.0	0.0	0.10627182537209677	0.02527744642108786	0.0	0.07350197807325685
SPSC_biopsy1_s_024um_00083_00114-1	0.015757395460137293	0.09230508004860746	0.08267401780453193	0.09924240255926356	0.5185433312833171	0.0	0.039098728051978025	0.013015046456225483	0.01808802577729208	0.05485010966041295	0.030065797996318932	0.0	0.02398394038245588	0.0	0.003498628921341095
SPSC_biopsy1_s_024um_00104_00134-1	0.0	0.14721366339766165	0.07886599053292659	0.13339722283004357	0.3160898698668483	0.05807350686679755	0.0	0.03546138627133246	4.36954060294986e-05	0.21989478046197314	0.0	0.0	0.008596670159601584	0.0	0.0030835771665191068
